Nama Kota;Luas Panen 2010;Luas Panen 2011;Luas Panen 2012;Luas Panen 2013;Luas Panen 2014;Luas Panen 2015;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2010;Produksi 2011;Produksi 2012;Produksi 2013;Produksi 2014;Produksi 2015;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2010;Produktivitas 2011;Produktivitas 2012;Produktivitas 2013;Produktivitas 2014;Produktivitas 2015;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
1101 - Kab. Simeulue;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1102 - Kab. Aceh Singkil;0;1;0;0;0;4;2;0;0;2;2;1;12;0;0;0;0;0;0;0;0;0;0;0;2;1.6;0.8;19.99463323;0;0;0;0;0;0;0;0;0;0;0;10;8;8;16.66;0;0
1103 - Kab. Aceh Selatan;83;92;104;124;0;29;39;22;18.8;18;25;36;93.2;0;0;0;0;0;0;0;0;0;0;19;19;26.1;20.5;163.8915016;0;0;0;0;0;0;0;0;0;0;10.10638298;10.55555556;10.44;5.694444444;17.58;0;0
1104 - Kab. Aceh Tenggara;22;47;44;32;0;15;4;1.5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6.666666667;10;0;0;0;0;0
1105 - Kab. Aceh Timur;159;191;66;96;0;20;15;13.9;5.9;1.9;190;80;0;0;0;0;0;0;0;0;0;0;0;6;2;190;80;0;0;0;0;0;0;0;0;0;0;0;10.16949153;10.52631579;10;10;0;0;0
1106 - Kab. Aceh Tengah;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.555941053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.56;0;0
1107 - Kab. Aceh Barat;7;22;18;16;0;4;1;3;3;2;0;0;213.5;0;0;0;0;0;0;0;0;0;0;3;2;0;0;339.6361532;0;0;0;0;0;0;0;0;0;0;10;10;0;0;15.91;0;0
1108 - Kab. Aceh Besar;78;148;114;97;0;737;153.3;45.2;48.5;95.8;14.8;12.8;100.7;0;0;0;0;0;0;0;0;0;0;48.5;87;35.5;9.5;159.1700635;0;0;0;0;0;0;0;0;0;0;10;9.081419624;23.98648649;7.421875;15.81;0;0
1109 - Kab. Aceh Pidie;92;124;208;89;0;324;609.5;273.5;167.1;330.8;195.4;67.7;447.5;0;0;0;0;0;0;0;0;0;0;242.6;412.1;256.1;83.8;716.2404303;0;0;0;0;0;0;0;0;0;0;14.51825254;12.45767836;13.10644831;12.37813885;16.01;0;0
1110 - Kab. Bireun;177;418;447;139;0;220;191.8;146.2;28.7;20.7;5.8;11;53;0;0;0;0;0;0;0;0;0;0;30.5;23.4;7.2;17.1;81.83886362;0;0;0;0;0;0;0;0;0;0;10.6271777;11.30434783;12.4137931;15.54545455;15.44;0;0
